iter	Passed	Remaining
0	148	14558
1	156	7576
2	164	5271
3	171	4077
4	178	3356
5	185	2875
6	192	2528
7	200	2278
8	208	2084
9	215	1914
10	222	1777
11	229	1663
12	236	1567
13	244	1483
14	252	1413
15	260	1352
16	268	1294
17	275	1239
18	282	1190
19	290	1148
20	297	1105
21	305	1068
22	313	1036
23	320	1002
24	328	972
25	335	941
26	343	915
27	351	890
28	357	863
29	364	838
30	371	815
31	379	795
32	387	774
33	395	755
34	402	736
35	409	716
36	416	697
37	424	681
38	432	664
39	438	647
40	445	630
41	452	614
42	460	599
43	468	586
44	476	571
45	483	557
46	490	542
47	497	528
48	504	515
49	512	502
50	521	490
51	528	477
52	535	464
53	543	453
54	551	441
55	559	429
56	567	418
57	574	406
58	582	394
59	589	383
60	598	372
61	607	362
62	614	351
63	622	340
64	630	329
65	637	318
66	644	307
67	652	297
68	659	286
69	667	276
70	674	266
71	682	255
72	689	245
73	696	235
74	704	225
75	711	215
76	718	205
77	726	195
78	733	185
79	740	175
80	749	166
81	756	156
82	763	147
83	771	137
84	779	128
85	786	118
86	793	109
87	800	100
88	809	90
89	816	81
90	824	72
91	831	63
92	837	54
93	844	44
94	852	35
95	859	26
96	866	17
97	873	8
98	880	0
